어휘,품사,뜻풀이
ㄱ,명사,한글 자모의 첫째 글자. 기역이라 이르며l ‘가’에서와 같이 초성으로l ‘역’에서와 같이 종성으로 쓰인다. 목젖으로 콧길을 막고 혀뿌리를 높여 연구개를 막았다가 뗄 때 나는 무성음이다. 초성일 때는 무성이나 모음 사이에서는 유성음이 되며l 종성일 때는 혀뿌리를 떼지 않고 발음한다. 혀뿌리가 목구멍을 막는 모양을 본떠서 만든 글자이다.
ㄱㄴㄷ순,명사,한글의 ‘ㄱl ㄴl ㄷ……’ 차례로 매기는 순서.
ㄱㄴㄷ차례,명사,한글의 ‘ㄱl ㄴl ㄷ……’ 차례로 매기는 순서.
ㄱㄴ순,명사,한글의 ‘ㄱl ㄴl ㄷ……’ 차례로 매기는 순서.
ㄱㄴ차례,명사,한글의 ‘ㄱl ㄴl ㄷ……’ 차례로 매기는 순서.
ㄱ구개음화,품사 없음,구개음화의 하나. ‘ㄱl ㅋl ㄲ’이 모음 ‘ㅣ’나 반모음 ‘ㅣ[j]’ 앞에서 ‘ㅈl ㅊl ㅉ’으로 바뀌는 현상이다. ‘기름’이 ‘지름’으로l ‘견디다’가 ‘전디다’로 발음되는 것 따위이다.
ㄱ자관,명사,배관의 방향을 바꾸기 위하여 접속하는l 팔꿈치 모양으로 굽은 관. 금속이나 도기 따위로 만들며 굽은 각도는 95도l 45도 따위로 여러 가지이다.
ㄱ자쇠,명사,‘ㄱ’ 자 모양의 띠쇠.
ㄱ자자,명사,나무나 쇠를 이용하여 90도 각도로 만든 ‘ㄱ’ 자 모양의 자.
ㄱ자집,명사,‘ㄱ’ 자 모양으로 만든 집.
ㄱ자촉홈,명사,건물이나 기물을 만들 때l ‘ㄱ’ 자 모양의 촉을 끼우기 위하여 낸 홈. 나무나 돌 따위를 이을 부분에 만든다.
ㄱ자턱솔이음,품사 없음,나무나 돌을 ‘ㄱ’ 자 모양으로 턱이 지게 하여 만든 이음.
