어휘,품사,뜻풀이
부네트워크,명사,중계 기능을 제공하는 하나 또는 복수의 개방형 시스템으로 되어 있으며l 말단의 개방형 시스템은 중간의 개방형 시스템을 이용하여 망 이음을 할 수 있는 네트워크. 예를 들면 패킷 교환망l 회선 교환망l 구내 정보 통신망 따위가 있다.
부녀,명사,아버지와 딸을 아울러 이르는 말.
부녀가,명사,‘부요’의 북한어.
부녀가사,명사,‘규방 가사’의 북한어.
부녀간,명사,아버지와 딸 사이.
부녀당,명사,마을의 신을 모셔 두는 집.
부녀매매,품사 없음,영리 따위를 꾀하기 위하여 매음과 같은 일에 사용할 목적으로 부녀자를 사고파는 일. 반드시 민법상의 매매와 같은 의미를 가지는 것은 아니며l 계약은 체결하였으나 인도하지 않았을 때에는 부녀 매매죄의 미수에 불과하다.
부녀매매죄,품사 없음,영리 따위를 꾀하기 위하여 매음과 같은 일에 사용할 목적으로 부녀자를 매매함으로써 성립하는 죄. 현행 헌법에는 이와 같은 행위를 한 자는 1년 이상의 유기 징역에 처하도록 규정되어 있다.
부녀복지,품사 없음,이상적인 차원에서는 모든 여성의 문제와 권익에 관여하려고 하나l 현실적인 차원에서 주로 미혼모l 직업여성l 윤락 여성 따위의 문제를 중요하게 다루는 사회 복지.
부녀상사,명사,부녀자가 불공을 드리기 위하여 절에 묵던 일.
부녀약취유인죄,품사 없음,부녀자를 약취하거나 유인하여 자기나 제삼자의 실력적 지배하에 둠으로써 신체 활동의 자유를 침해하는 범죄.
부녀유친,명사,아버지와 딸 사이가 아버지와 아들 사이보다 더 친함. 오륜의 하나인 부자유친에 유추하여 만든 말이다.
부녀자,명사,결혼한 여자와 성숙한 여자를 통틀어 이르는 말.
부녀자공제,품사 없음,소득세법상 종합 소득이 있는 당해 거주자가 배우자가 없고 부양 가족이 있는 여성 세대주이거나 배우자가 있는 여성인 경우에 종합 소득 금액에서 추가로 연 50만 원을 공제해 주는 제도.
부녀절,명사,‘국제 여성의 날’의 북한어.
부녀지간,명사,아버지와 딸 사이.
부녀층,명사,사회 구성원 가운데 부녀자인 사람을 통틀어 이르는 말.
부녀탈,명사,하회 별신굿 다섯째 마당에 등장하는 인물의 하나인 부네가 쓰는 탈. 타원형 바탕에 초승달 같은 실눈과 눈썹l 길쭉한 코l 미소 띤 긴 입술을 하고 있다.
부녀필지,명사,조선 시대에l 부녀자들이 반드시 알아 두어야 할 임신ㆍ출산ㆍ육아에 관한 내용을 기록한 책. 고종 28년(1891)에 발간하였다. 1책.
부녀회,명사,부녀자들로 구성된 모임. 흔히 마을ㆍ동(洞)ㆍ아파트 따위의 인근 지역 사회라든가 종교 단체 따위에서l 부녀자들이 모임을 구성하여 아이들의 교육이나 일상생활 문제 따위에 공동으로 대처한다.
부녀회관,품사 없음,부녀자들의 사회 활동과 문화ㆍ교육 장소로 이용하기 위하여 마련한 회관.
부녀회원,명사,부녀회를 구성하는 사람들.
부녀회장,명사,부녀회를 대표하고 부녀회의 일을 책임지는 사람.
부노드,명사,근노드를 가진 트리에서l 근노드 쪽으로 연결되어 있는 노드.
부논리,명사,데이터를 표기할 때에l 일반적인 상태와는 반대로 전압이 높은 상태를 ‘0’l 전압이 낮은 상태를 ‘1’로 표현하는 일.
부논리형식,품사 없음,데이터를 표기할 때에l 일반적인 상태와는 반대로 전압이 높은 상태를 ‘0’l 전압이 낮은 상태를 ‘1’로 표현하는 일.
부논문,명사,주요 논문 뒤에 같이 묶여 있는 소규모의 논문.
부농,명사,농토와 농사의 규모가 크고 수입이 많은 농가나 농민.
부농가,명사,농토와 농사의 규모가 크고 수입이 많은 가정이나 집.
부농경리,명사,토지를 비롯한 주요 생산 수단을 가지고 일꾼을 집에 두어 부리며 농사짓는 경제 형태.
부농계급,품사 없음,농토와 농사의 규모가 크고 수입이 많은 농민 계급.
부농층,명사,농토와 농사의 규모가 크고 수입이 많은 농민들의 계층.
부뇌,명사,대뇌의 일부분으로 신경 계통의 조절에 관여하는 뇌 부위.
부누선,명사,눈물샘 조직이 눈물샘에서 분리되어 결막 위쪽 구석 근처에 위치하는 덩어리. 결막의 표면으로 눈물을 분비하는 데 작용한다.
부눈족,명사,대만의 중부 산지에 사는 고산족(高山族)에 속하는 한 부족. 약 1만 8000명이 부계 사회를 이루고 있고l 인도네시아어에 속하는 언어를 쓴다.
부뉴엘,명사,루이스 부뉴엘l 에스파냐의 영화감독(1900~1983). 파리에서 초현실적인 환상과 현실이 융합된 전위 영화를 만들었다. 작품에 <안달루시아의 개>l <황금시대> 따위가 있다.
